"","iBtn_ID","Plot_ID","Veg_type","Depth","Transect.x","Moist_grad","avg_daily_temp"
"1","103","21-04","W2",-15,"T8","wet tundra",-5.7664
"2","105","21-03","W2",-15,"T8","wet tundra",-5.7343
"3","108","21-34","M3",-15,"T7","moist tundra",-6.1703
"4","110","21-29","W1",-15,"T7","wet tundra",-5.5321
"5","111","21-29","W1",0,"T7","wet tundra",-4.9191
"6","112","21-35","A1t",-15,"T7","aquatic",-5.3787
"7","117","21-28","W2",-15,"T7","wet tundra",-4.8051
"8","119","21-17","M3",-15,"T8","moist tundra",-5.9669
"9","120","21-11","M3t",-15,"T6","moist tundra",-4.7179
"10","122","21-34","M3",0,"T7","moist tundra",-5.5365
"11","125","21-05","M1",-15,"T6","moist tundra",-6.2199
"12","127","21-16","W1",-15,"T6","wet tundra",-5.0814
"13","129","21-09","M3t",-15,"T6","moist tundra",-5.6191
"14","130","21-29","W1",-40,"T7","wet tundra",-6.4525
"15","134","21A-18","A3t",-40,"T6","aquatic",-4.2583
"16","135","22-05","D2",-15,"Pingo","dry tundra",-6.8201
"17","136","21-05","M1",-40,"T6","moist tundra",-6.624
"18","138","21A-27","L3",-40,"T6","aquatic",-4.5255
"19","141","21-31","A1t",-15,"T7","aquatic",-6.0324
"20","142","21-09","M3t",-40,"T6","moist tundra",-6.2456
"21","144","21-01","W1",0,"T8","wet tundra",-5.0525
"22","145","21A-15","A3t",-40,"T6","aquatic",-2.8895
"23","146","21-35","A1t",0,"T7","aquatic",-5.0576
"24","147","21A-28","A4t",-15,"T6","aquatic",-4.2542
"25","149","22-14","Dsn",0,"Pingo","dry tundra",-5.2301
"26","152","21-16","W1",-40,"T6","wet tundra",-5.8221
"27","153","21A-14","L3",-40,"T6","aquatic",-3.4738
"28","155","21A-18","A3t",-15,"T6","aquatic",-3.1978
"29","157","21A-26","A3t",-15,"T6","aquatic",-4.6287
"30","158","21-34","M3",-40,"T7","moist tundra",-6.8946
"31","160","21-28","W2",-40,"T7","wet tundra",-5.3277
"32","161","22-15","Mz",0,"T8","moist tundra",-7.9336
"33","163","21-35","A1t",-40,"T7","aquatic",-6.2963
"34","165","22-01","D1",-15,"Pingo","dry tundra",-7.9804
"35","166","21-02","W1",0,"T8","wet tundra",-4.6733
"36","167","22-08","A1",-15,"Lakes","aquatic",-5.7074
"37","169","21-21","M1",-15,"T9","moist tundra",-6.8441
"38","173","22-02","D1",-15,"Pingo","dry tundra",-7.7186
"39","174","21A-03","A4t",-40,"T6","aquatic",-5.2831
"40","175","21-23","W1",0,"T9","wet tundra",-4.6056
"41","176","22-13","Dz",0,"Pingo","dry tundra",-7.3877
"42","177","21-09","M3t",0,"T6","moist tundra",-4.9218
